Purchase_ID,Invoice_ID,Invoice_Date,Supplier_ID,Supplier_Name,Category,Subcategory,Department,Region,Amount,Payment_Status,Contract_Compliance,PO_Status,Invoice_Processing_Days,Buyer_Name,Cost_Center
P1015,INV1015,2024-08-09,S027,Peak Freight,Logistics,Freight,Admin,South,3045.16,Pending,Yes,Available,26,John,CC104
P1016,INV1016,2024-02-07,S004,FastClean Services,Facilities,Safety Supplies,Technology,West,12762.83,Paid,Yes,Available,13,Sara,CC112
P1017,INV1017,2024-08-11,S003,Prime Logistics,Logistics,Freight,Engineering,West,31149.77,Paid,No,Available,12,Priya,CC113
P1018,INV1018,2024-04-25,S026,Nova Precision,Manufacturing,Packaging,Admin,North,7183.15,Paid,Yes,Available,15,Ana,CC115
P1019,INV1019,2024-01-22,S029,FacilityOne Services,Facilities,Maintenance,HR,North,7082.83,Paid,Yes,Available,6,Priya,CC109
P1020,INV1020,2024-08-15,S029,FacilityOne Services,Facilities,Cleaning,Engineering,West,8700.88,Paid,Yes,Available,4,Leo,CC111
P1021,INV1021,2024-02-12,S028,CoreOffice Depot,Office Supplies,Paper,Operations,West,2801.85,Pending,Yes,Available,24,Mark,CC113
P1022,INV1022,2024-06-18,S015,RapidRoute Shipping,Logistics,Freight,HR,North,27996.72,Paid,Yes,Missing,9,Ana,CC103
P1023,INV1023,2024-07-02,S003,Prime Logistics,Logistics,Ocean Freight,Operations,West,23723.89,Paid,No,Available,10,John,CC105
P1024,INV1024,2024-07-24,S022,OmniTech Devices,IT,Monitors,HR,South,9469.37,Paid,Yes,Available,20,Ravi,CC104
P1025,INV1025,2024-01-01,S025,SafeGrid Security,IT,Servers,Engineering,East,3896.9,Pending,Yes,Available,32,Priya,CC111
P1026,INV1026,2024-08-01,S025,SafeGrid Security,IT,Laptops,Finance,West,4038.42,Pending,Yes,Available,18,David,CC112
P1027,INV1027,2024-06-15,S005,NextGen Components,Manufacturing,Machine Parts,Procurement,Northeast,8448.56,Paid,Yes,Available,20,Ana,CC104
P1028,INV1028,2024-07-02,S004,FastClean Services,Facilities,Safety Supplies,Operations,North,3073.46,Paid,Yes,Available,20,John,CC105
P1029,INV1029,2024-11-16,S029,FacilityOne Services,Facilities,Maintenance,HR,East,10269.91,Paid,Yes,Available,6,Ana,CC115
P1030,INV1030,2024-07-03,S028,CoreOffice Depot,Office Supplies,Stationery,Finance,Midwest,7776.55,Paid,Yes,Available,16,Nina,CC114
P1031,INV1031,2024-09-30,S002,Delta Office,Office Supplies,Paper,Admin,West,1067.55,Paid,Yes,Available,12,Ana,CC114
P1032,INV1032,2024-02-21,S022,OmniTech Devices,IT,Software,Procurement,West,3569.91,Overdue,Yes,Available,37,David,CC104
P1033,INV1033,2024-01-03,S001,ABC Supplies,IT,Servers,Operations,North,7061.51,Pending,Yes,Available,20,Ravi,CC102
P1034,INV1034,2024-03-03,S006,OfficePro,Office Supplies,Printers,Finance,Midwest,7434.09,Pending,Yes,Available,30,Nina,CC113
P1035,INV1035,2024-01-12,S003,Prime Logistics,Logistics,Warehousing,HR,South,23501.58,Paid,Yes,Available,9,Mark,CC111
P1036,INV1036,2024-04-23,S021,Velocity Cargo,Logistics,Warehousing,Engineering,East,2609.66,Pending,Yes,Available,25,Ana,CC114
P1037,INV1037,2024-02-15,S022,OmniTech Devices,IT,Networking,Technology,South,24209.4,Paid,Yes,Available,3,Nina,CC102
P1038,INV1038,2024-01-26,S030,DataSphere Tech,IT,Servers,Procurement,Northeast,27398.97,Pending,No,Available,29,Ana,CC102
P1039,INV1039,2024-03-18,S012,EverBright Utilities,Facilities,Utilities,Engineering,North,848.2,Paid,Yes,Available,12,Ravi,CC105
P1040,INV1040,2024-04-04,S025,SafeGrid Security,IT,Laptops,Operations,Midwest,11772.35,Paid,No,Available,5,Leo,CC111
P1041,INV1041,2024-08-20,S002,Delta Office,Office Supplies,Stationery,Supply Chain,East,5129.25,Pending,Yes,Available,39,Emily,CC106
P1042,INV1042,2024-05-25,S001,ABC Supplies,IT,Software,Technology,East,18299.38,Pending,Yes,Available,23,John,CC110
P1043,INV1043,2024-07-09,S017,PureSpace Cleaning,Facilities,Safety Supplies,Procurement,South,1581.4,Pending,Yes,Available,16,Nina,CC111
P1044,INV1044,2024-09-06,S024,Titan Fabrication,Manufacturing,Maintenance Kits,Procurement,Northeast,30196.71,Overdue,No,Available,52,Ravi,CC106
P1045,INV1045,2024-03-31,S028,CoreOffice Depot,Office Supplies,Breakroom Supplies,Operations,East,5766.23,Paid,Yes,Available,19,John,CC103
P1046,INV1046,2024-11-28,S027,Peak Freight,Logistics,Express Delivery,Admin,Midwest,6003.79,Paid,Yes,Available,8,Mark,CC113
P1047,INV1047,2024-09-13,S009,Apex Industrial,Manufacturing,Maintenance Kits,Facilities,South,41299.52,Paid,Yes,Available,19,Ana,CC107
P1048,INV1048,2024-08-29,S030,DataSphere Tech,IT,Accessories,Facilities,West,21017.02,Paid,Yes,Available,16,Ana,CC101
P1049,INV1049,2024-06-29,S004,FastClean Services,Facilities,HVAC,Engineering,North,10063.28,Paid,Yes,Available,20,Leo,CC112
P1050,INV1050,2024-04-29,S022,OmniTech Devices,IT,Servers,Technology,East,9848.76,Paid,Yes,Available,18,Mark,CC105
P1051,INV1051,2024-07-01,S020,EcoMaintain,Facilities,Cleaning,Engineering,South,13374.14,Paid,Yes,Available,4,Nina,CC101
P1052,INV1052,2024-09-20,S012,EverBright Utilities,Facilities,Maintenance,Supply Chain,South,8499.25,Paid,Yes,Available,9,Priya,CC112
P1053,INV1053,2024-09-07,S022,OmniTech Devices,IT,Monitors,Admin,East,11874.97,Paid,Yes,Available,15,Ana,CC112
P1054,INV1054,2024-03-30,S005,NextGen Components,Manufacturing,Maintenance Kits,Procurement,North,5875.16,Paid,No,Available,17,John,CC107
P1055,INV1055,2024-06-02,S017,PureSpace Cleaning,Facilities,Utilities,HR,East,958.79,Overdue,Yes,Available,42,Leo,CC103
P1056,INV1056,2024-08-15,S024,Titan Fabrication,Manufacturing,Consumables,Operations,East,5876.93,Paid,Yes,Available,12,Leo,CC108
P1057,INV1057,2024-09-30,S013,Metro Furnishings,Office Supplies,Printers,Admin,Northeast,3104.3,Pending,Yes,Available,17,Emily,CC109
P1058,INV1058,2024-06-08,S010,BlueWave Freight,Logistics,Warehousing,Finance,North,8535.67,Pending,Yes,Available,32,Ravi,CC102
P1059,INV1059,2024-08-26,S030,DataSphere Tech,IT,Software,Admin,West,18393.42,Overdue,No,Available,43,Mark,CC112
P1060,INV1060,2024-09-17,S004,FastClean Services,Facilities,Maintenance,Engineering,South,5973.33,Paid,Yes,Available,12,David,CC113
P1061,INV1061,2024-02-12,S021,Velocity Cargo,Logistics,Express Delivery,Operations,South,26040.86,Paid,Yes,Available,7,Ravi,CC107
P1062,INV1062,2024-08-20,S005,NextGen Components,Manufacturing,Machine Parts,Technology,East,7249.23,Paid,Yes,Available,12,Sara,CC110
P1063,INV1063,2024-04-02,S023,PaperTrail Office,Office Supplies,Printers,Technology,West,3835.61,Paid,Yes,Available,8,Sara,CC101
P1064,INV1064,2024-02-12,S019,ForgeLine Parts,Manufacturing,Machine Parts,HR,North,15179.36,Paid,Yes,Missing,20,Mark,CC104
P1065,INV1065,2024-03-28,S028,CoreOffice Depot,Office Supplies,Stationery,Facilities,East,5730.85,Paid,Yes,Available,15,David,CC107
P1066,INV1066,2024-03-22,S030,DataSphere Tech,IT,Networking,Operations,Midwest,20438.23,Pending,No,Available,37,Mark,CC104
P1067,INV1067,2024-03-01,S017,PureSpace Cleaning,Facilities,HVAC,Procurement,South,7105.95,Paid,Yes,Available,18,Nina,CC111
P1068,INV1068,2024-11-13,S007,SecureNet,IT,Networking,Operations,Midwest,22509.17,Paid,No,Available,11,Sara,CC104
P1069,INV1069,2024-12-30,S015,RapidRoute Shipping,Logistics,Last Mile,Engineering,West,1300.94,Pending,No,Available,24,David,CC109
P1070,INV1070,2024-08-18,S017,PureSpace Cleaning,Facilities,HVAC,Facilities,East,4514.23,Paid,Yes,Available,17,Ana,CC112
P1071,INV1071,2024-06-28,S018,NorthStar Office,Office Supplies,Printers,Engineering,West,4238.3,Paid,Yes,Available,11,Ana,CC101
P1072,INV1072,2024-06-26,S017,PureSpace Cleaning,Facilities,Maintenance,Operations,Northeast,9103.94,Paid,Yes,Available,8,Priya,CC104
P1073,INV1073,2024-03-14,S030,DataSphere Tech,IT,Cloud Services,Procurement,Midwest,20317.04,Pending,No,Available,31,David,CC111
P1074,INV1074,2024-12-27,S001,ABC Supplies,IT,Cloud Services,Facilities,Northeast,18421.06,Pending,No,Available,18,Leo,CC106
P1075,INV1075,2024-01-02,S020,EcoMaintain,Facilities,Maintenance,Technology,East,13581.08,Paid,Yes,Available,4,Mark,CC113
P1076,INV1076,2024-09-08,S010,BlueWave Freight,Logistics,Last Mile,Procurement,Midwest,10209.41,Paid,No,Missing,10,Emily,CC101
P1077,INV1077,2024-08-02,S015,RapidRoute Shipping,Logistics,Warehousing,Finance,West,13976.96,Paid,No,Available,7,Priya,CC103
P1078,INV1078,2024-05-22,S014,Vertex Tools,Manufacturing,Machine Parts,Operations,North,40539.88,Overdue,Yes,Available,23,David,CC104
P1079,INV1079,2024-09-10,S012,EverBright Utilities,Facilities,Maintenance,Admin,South,1665.37,Paid,Yes,Available,14,John,CC112
P1080,INV1080,2024-02-07,S030,DataSphere Tech,IT,Cloud Services,Procurement,Northeast,26882.51,Paid,Yes,Available,18,Sara,CC109
P1081,INV1081,2024-04-08,S009,Apex Industrial,Manufacturing,Consumables,Facilities,East,26472.54,Paid,Yes,Available,12,Mark,CC109
P1082,INV1082,2024-06-13,S001,ABC Supplies,IT,Cloud Services,HR,Midwest,23019.33,Paid,Yes,Available,10,Emily,CC114
P1083,INV1083,2024-01-11,S020,EcoMaintain,Facilities,HVAC,Supply Chain,Northeast,1022.39,Paid,Yes,Available,15,Ana,CC103
P1084,INV1084,2024-06-04,S012,EverBright Utilities,Facilities,Maintenance,Supply Chain,East,8985.84,Paid,Yes,Available,12,Emily,CC110
P1085,INV1085,2024-12-12,S008,GreenSource,Facilities,Maintenance,Facilities,North,9894.1,Paid,Yes,Available,14,Nina,CC102
P1086,INV1086,2024-03-14,S019,ForgeLine Parts,Manufacturing,Machine Parts,Supply Chain,West,27442.1,Paid,No,Available,15,Sara,CC111
P1087,INV1087,2024-11-10,S012,EverBright Utilities,Facilities,Repairs,Procurement,Northeast,3388.85,Paid,Yes,Available,19,Sara,CC115
P1088,INV1088,2024-11-20,S023,PaperTrail Office,Office Supplies,Furniture,Technology,North,106.24,Paid,Yes,Available,8,Priya,CC106
P1089,INV1089,2024-07-19,S027,Peak Freight,Logistics,Ocean Freight,Procurement,Northeast,7928.27,Paid,No,Available,12,Mark,CC114
P1090,INV1090,2024-03-30,S001,ABC Supplies,IT,Software,Procurement,Northeast,16321.35,Paid,Yes,Available,4,Priya,CC113
P1091,INV1091,2024-02-26,S020,EcoMaintain,Facilities,Repairs,HR,South,6548.77,Paid,Yes,Available,4,Ana,CC103
P1092,INV1092,2024-04-07,S005,NextGen Components,Manufacturing,Tools,HR,Midwest,14701.85,Pending,Yes,Available,21,Sara,CC108
P1093,INV1093,2024-03-11,S005,NextGen Components,Manufacturing,Packaging,Admin,West,14445.79,Paid,Yes,Available,18,David,CC102
P1094,INV1094,2024-12-03,S002,Delta Office,Office Supplies,Paper,Engineering,South,3954.03,Pending,Yes,Available,13,Nina,CC103
P1095,INV1095,2024-05-05,S005,NextGen Components,Manufacturing,Tools,Admin,South,11137.26,Paid,No,Available,12,John,CC111
P1096,INV1096,2024-07-04,S009,Apex Industrial,Manufacturing,Tools,Finance,West,11467.47,Overdue,Yes,Available,30,Nina,CC111
P1097,INV1097,2024-07-21,S024,Titan Fabrication,Manufacturing,Tools,Technology,West,33488.85,Paid,No,Available,9,Ana,CC115
P1098,INV1098,2024-04-10,S007,SecureNet,IT,Networking,Supply Chain,Northeast,13498.3,Paid,No,Available,3,Mark,CC103
P1099,INV1099,2024-10-17,S023,PaperTrail Office,Office Supplies,Printers,HR,North,8108.11,Paid,Yes,Available,12,John,CC114
P1100,INV1100,2024-09-13,S016,CloudAxis Software,IT,Cloud Services,HR,South,2928.32,Paid,Yes,Available,17,Emily,CC111
P1101,INV1101,2024-11-14,S030,DataSphere Tech,IT,Security,Operations,South,4248.48,Pending,No,Available,34,Sara,CC113
P1102,INV1102,2024-06-10,S015,RapidRoute Shipping,Logistics,Last Mile,Supply Chain,Midwest,23031.74,Paid,Yes,Available,17,Nina,CC112
P1103,INV1103,2024-12-08,S028,CoreOffice Depot,Office Supplies,Paper,Operations,South,8065.73,Pending,Yes,Available,26,Emily,CC115
P1104,INV1104,2024-12-09,S007,SecureNet,IT,Security,Supply Chain,South,12259.49,Overdue,No,Missing,33,Priya,CC115
P1105,INV1105,2024-05-31,S016,CloudAxis Software,IT,Servers,Supply Chain,North,19365.52,Paid,No,Available,4,John,CC105
P1106,INV1106,2024-04-24,S009,Apex Industrial,Manufacturing,Machine Parts,Admin,Northeast,36379.57,Paid,Yes,Available,5,Mark,CC109
P1107,INV1107,2024-06-02,S016,CloudAxis Software,IT,Networking,Procurement,Northeast,24272.72,Paid,Yes,Missing,14,Emily,CC113
P1108,INV1108,2024-05-28,S030,DataSphere Tech,IT,Security,Finance,East,4825.27,Paid,Yes,Available,17,John,CC112
P1109,INV1109,2024-08-14,S023,PaperTrail Office,Office Supplies,Paper,HR,South,7610.35,Paid,Yes,Available,7,Emily,CC114
P1110,INV1110,2024-10-09,S020,EcoMaintain,Facilities,Safety Supplies,Engineering,Midwest,2564.69,Paid,Yes,Available,20,John,CC101
P1111,INV1111,2024-05-04,S008,GreenSource,Facilities,Safety Supplies,Supply Chain,South,12339.44,Paid,Yes,Available,19,David,CC114
P1112,INV1112,2024-01-13,S005,NextGen Components,Manufacturing,Packaging,Supply Chain,Northeast,20905.74,Pending,No,Available,25,Nina,CC110
P1113,INV1113,2024-04-03,S004,FastClean Services,Facilities,Cleaning,Procurement,South,510.46,Paid,Yes,Available,18,Priya,CC110
P1114,INV1114,2024-10-02,S018,NorthStar Office,Office Supplies,Furniture,Facilities,Northeast,4255.03,Paid,Yes,Available,6,Priya,CC115
P1115,INV1115,2024-04-14,S027,Peak Freight,Logistics,Ocean Freight,Procurement,West,3572.52,Paid,Yes,Available,18,Leo,CC114
P1116,INV1116,2024-09-01,S002,Delta Office,Office Supplies,Office Equipment,Procurement,East,6417.19,Paid,Yes,Available,20,Ana,CC111
P1117,INV1117,2024-01-23,S002,Delta Office,Office Supplies,Breakroom Supplies,Admin,South,1665.45,Paid,Yes,Available,19,Ravi,CC107
P1118,INV1118,2024-12-03,S024,Titan Fabrication,Manufacturing,Consumables,Procurement,North,12661.18,Pending,Yes,Missing,24,Leo,CC114
P1119,INV1119,2024-06-07,S013,Metro Furnishings,Office Supplies,Breakroom Supplies,Operations,West,2994.78,Overdue,No,Available,37,David,CC111
P1120,INV1120,2024-04-15,S016,CloudAxis Software,IT,Software,HR,South,2857.45,Pending,Yes,Available,20,Ravi,CC111
P1121,INV1121,2024-05-16,S017,PureSpace Cleaning,Facilities,Safety Supplies,Technology,East,5283.15,Paid,Yes,Available,18,Ravi,CC105
P1122,INV1122,2024-11-30,S014,Vertex Tools,Manufacturing,Tools,Engineering,South,16896.69,Paid,Yes,Available,11,John,CC109
P1123,INV1123,2024-09-17,S029,FacilityOne Services,Facilities,Utilities,Supply Chain,Midwest,13525.55,Paid,Yes,Missing,12,David,CC105
P1124,INV1124,2024-10-12,S002,Delta Office,Office Supplies,Paper,Admin,West,5328.45,Paid,Yes,Available,17,Mark,CC115
P1125,INV1125,2024-11-12,S016,CloudAxis Software,IT,Networking,Facilities,South,7897.98,Paid,No,Available,4,Priya,CC112
P1126,INV1126,2024-06-14,S005,NextGen Components,Manufacturing,Maintenance Kits,Operations,East,15529.17,Pending,No,Available,11,Ravi,CC104
P1127,INV1127,2024-06-20,S003,Prime Logistics,Logistics,Warehousing,Supply Chain,Northeast,18418.67,Pending,No,Available,23,David,CC112
P1128,INV1128,2024-09-09,S025,SafeGrid Security,IT,Servers,Engineering,South,10247.05,Paid,Yes,Available,6,Nina,CC114
P1129,INV1129,2024-09-09,S028,CoreOffice Depot,Office Supplies,Printers,Operations,Northeast,2518.58,Paid,Yes,Available,18,Priya,CC112
P1130,INV1130,2024-12-06,S027,Peak Freight,Logistics,Ocean Freight,Facilities,Northeast,3324.62,Pending,Yes,Available,21,Mark,CC109
P1131,INV1131,2024-05-02,S019,ForgeLine Parts,Manufacturing,Packaging,Operations,West,38301.39,Paid,Yes,Missing,4,Sara,CC106
P1132,INV1132,2024-04-30,S009,Apex Industrial,Manufacturing,Machine Parts,Procurement,South,2385.81,Paid,Yes,Available,4,Nina,CC102
P1133,INV1133,2024-11-08,S010,BlueWave Freight,Logistics,Last Mile,Operations,Northeast,28642.94,Pending,No,Available,9,Emily,CC114
P1134,INV1134,2024-08-20,S010,BlueWave Freight,Logistics,Freight,Admin,Midwest,18825.73,Paid,Yes,Available,3,Ana,CC115
P1135,INV1135,2024-01-28,S015,RapidRoute Shipping,Logistics,Warehousing,Facilities,Northeast,11063.91,Paid,No,Missing,18,Sara,CC102
P1136,INV1136,2024-08-05,S009,Apex Industrial,Manufacturing,Consumables,HR,Northeast,25514.92,Paid,Yes,Available,7,John,CC113
P1137,INV1137,2024-07-14,S022,OmniTech Devices,IT,Accessories,HR,Midwest,21757.97,Pending,Yes,Available,28,Priya,CC115
P1138,INV1138,2024-07-31,S029,FacilityOne Services,Facilities,Utilities,Finance,East,670.17,Paid,Yes,Available,19,Nina,CC108
P1139,INV1139,2024-10-22,S005,NextGen Components,Manufacturing,Machine Parts,Admin,West,37471.61,Paid,Yes,Missing,13,Sara,CC112
P1140,INV1140,2024-10-21,S029,FacilityOne Services,Facilities,Repairs,Operations,North,7840.64,Overdue,No,Available,35,Priya,CC101
P1141,INV1141,2024-01-24,S009,Apex Industrial,Manufacturing,Consumables,Operations,Northeast,1020.61,Paid,Yes,Available,8,Ana,CC112
P1142,INV1142,2024-10-17,S029,FacilityOne Services,Facilities,Safety Supplies,Procurement,North,12556.18,Paid,No,Available,9,Ravi,CC115
P1143,INV1143,2024-02-13,S007,SecureNet,IT,Laptops,HR,West,6306.44,Paid,Yes,Available,15,Sara,CC110
P1144,INV1144,2024-01-28,S002,Delta Office,Office Supplies,Paper,HR,East,3975.68,Pending,Yes,Available,19,John,CC101
P1145,INV1145,2024-10-07,S017,PureSpace Cleaning,Facilities,HVAC,Supply Chain,East,12962.54,Paid,Yes,Available,11,Leo,CC106
P1146,INV1146,2024-08-26,S007,SecureNet,IT,Security,Procurement,South,12049.59,Paid,No,Available,12,Priya,CC106
P1147,INV1147,2024-03-12,S013,Metro Furnishings,Office Supplies,Paper,Engineering,East,3241.57,Paid,Yes,Available,16,Nina,CC109
P1148,INV1148,2024-09-21,S016,CloudAxis Software,IT,Laptops,Supply Chain,Northeast,23663.6,Pending,Yes,Available,30,John,CC103
P1149,INV1149,2024-08-21,S011,TechCore Systems,IT,Networking,Admin,Northeast,22508.33,Paid,Yes,Missing,7,Emily,CC103
P1150,INV1150,2024-04-28,S003,Prime Logistics,Logistics,Freight,HR,North,4228.28,Paid,Yes,Missing,19,Leo,CC104
P1151,INV1151,2024-09-11,S027,Peak Freight,Logistics,Freight,HR,Northeast,21825.93,Paid,Yes,Missing,14,Leo,CC113
P1152,INV1152,2024-08-01,S024,Titan Fabrication,Manufacturing,Consumables,Engineering,Northeast,16578.39,Paid,Yes,Missing,3,Emily,CC105
P1153,INV1153,2024-09-01,S021,Velocity Cargo,Logistics,Last Mile,Supply Chain,South,2186.04,Paid,No,Available,15,Emily,CC105
P1154,INV1154,2024-03-05,S025,SafeGrid Security,IT,Laptops,Facilities,Northeast,15641.16,Paid,Yes,Available,17,Emily,CC111
P1155,INV1155,2024-03-25,S016,CloudAxis Software,IT,Accessories,Engineering,East,14579.49,Paid,Yes,Available,14,Priya,CC106
P1156,INV1156,2024-05-30,S010,BlueWave Freight,Logistics,Freight,Operations,Midwest,25331.43,Pending,No,Available,31,Leo,CC101
P1157,INV1157,2024-04-04,S005,NextGen Components,Manufacturing,Tools,Finance,East,31139.02,Overdue,Yes,Available,44,Leo,CC102
P1158,INV1158,2024-03-22,S007,SecureNet,IT,Cloud Services,Operations,North,7665.51,Pending,Yes,Available,30,John,CC114
P1159,INV1159,2024-11-08,S009,Apex Industrial,Manufacturing,Machine Parts,Operations,Midwest,2517.86,Paid,Yes,Available,11,Sara,CC105
P1160,INV1160,2024-12-21,S026,Nova Precision,Manufacturing,Calibration,HR,Midwest,20421.6,Paid,Yes,Missing,13,Emily,CC110
P1161,INV1161,2024-06-15,S017,PureSpace Cleaning,Facilities,Repairs,Admin,East,3209.15,Pending,Yes,Available,29,Mark,CC102
P1162,INV1162,2024-05-16,S021,Velocity Cargo,Logistics,Ocean Freight,HR,East,13664.71,Paid,No,Missing,10,Mark,CC115
P1163,INV1163,2024-07-24,S029,FacilityOne Services,Facilities,Repairs,Procurement,West,1025.21,Paid,Yes,Available,10,Ana,CC104
P1164,INV1164,2024-05-29,S019,ForgeLine Parts,Manufacturing,Maintenance Kits,Facilities,South,35824.57,Paid,Yes,Available,17,David,CC114
P1165,INV1165,2024-07-05,S012,EverBright Utilities,Facilities,Maintenance,Operations,Northeast,10881.37,Paid,Yes,Available,12,Emily,CC111
P1166,INV1166,2024-09-22,S005,NextGen Components,Manufacturing,Consumables,Facilities,Midwest,21565.88,Paid,No,Available,19,Ana,CC106
P1167,INV1167,2024-10-30,S001,ABC Supplies,IT,Security,Admin,South,10844.58,Paid,Yes,Available,6,Nina,CC114
P1168,INV1168,2024-11-07,S004,FastClean Services,Facilities,HVAC,HR,North,1628.04,Pending,Yes,Available,27,Priya,CC114
P1169,INV1169,2024-03-01,S028,CoreOffice Depot,Office Supplies,Breakroom Supplies,Technology,Northeast,988.12,Pending,Yes,Available,16,Priya,CC112
P1170,INV1170,2024-01-03,S023,PaperTrail Office,Office Supplies,Printers,Facilities,West,1500.04,Paid,Yes,Available,5,Ana,CC104
P1171,INV1171,2024-06-20,S025,SafeGrid Security,IT,Security,HR,South,18887.55,Pending,Yes,Available,15,Leo,CC104
P1172,INV1172,2024-03-12,S029,FacilityOne Services,Facilities,Maintenance,Procurement,East,4159.13,Paid,Yes,Available,16,Priya,CC107
P1173,INV1173,2024-10-26,S013,Metro Furnishings,Office Supplies,Paper,Supply Chain,East,5074.45,Paid,Yes,Available,11,John,CC107
P1174,INV1174,2024-12-09,S030,DataSphere Tech,IT,Laptops,Operations,Midwest,24233.04,Pending,No,Available,28,Sara,CC103
P1175,INV1175,2024-10-29,S017,PureSpace Cleaning,Facilities,Repairs,Supply Chain,North,6828.89,Paid,Yes,Available,10,Leo,CC113
P1176,INV1176,2024-02-23,S017,PureSpace Cleaning,Facilities,Safety Supplies,Admin,West,9068.39,Paid,Yes,Available,10,Leo,CC113
P1177,INV1177,2024-04-27,S024,Titan Fabrication,Manufacturing,Packaging,Engineering,North,8313.27,Paid,No,Available,18,Priya,CC115
P1178,INV1178,2024-05-11,S021,Velocity Cargo,Logistics,Shipping,Procurement,East,5735.34,Paid,Yes,Available,10,Ravi,CC106
P1179,INV1179,2024-01-23,S016,CloudAxis Software,IT,Software,Finance,West,6434.46,Paid,Yes,Available,7,Ana,CC107
P1180,INV1180,2024-09-28,S004,FastClean Services,Facilities,Safety Supplies,Admin,Northeast,6890.09,Paid,Yes,Available,10,Emily,CC110
P1181,INV1181,2024-01-08,S018,NorthStar Office,Office Supplies,Office Equipment,Procurement,North,6507.34,Paid,Yes,Available,9,Priya,CC101
P1182,INV1182,2024-02-08,S001,ABC Supplies,IT,Cloud Services,Procurement,Northeast,4697.82,Paid,Yes,Available,20,Sara,CC107
P1183,INV1183,2024-12-14,S010,BlueWave Freight,Logistics,Shipping,Facilities,East,34884.21,Pending,No,Available,10,Leo,CC101
P1184,INV1184,2024-11-15,S025,SafeGrid Security,IT,Servers,Finance,Midwest,20645.72,Paid,Yes,Available,8,Mark,CC115
P1185,INV1185,2024-01-31,S017,PureSpace Cleaning,Facilities,Utilities,Technology,North,7594.43,Paid,Yes,Available,7,Sara,CC114
P1186,INV1186,2024-05-28,S005,NextGen Components,Manufacturing,Machine Parts,Engineering,Midwest,39198.81,Paid,Yes,Available,7,David,CC112
P1187,INV1187,2024-01-18,S027,Peak Freight,Logistics,Shipping,Facilities,West,27054.79,Pending,Yes,Available,21,Sara,CC111
P1188,INV1188,2024-11-26,S001,ABC Supplies,IT,Software,Finance,East,25512.62,Paid,Yes,Available,11,Ravi,CC111
P1189,INV1189,2024-11-06,S011,TechCore Systems,IT,Monitors,Admin,North,4912.01,Paid,No,Missing,17,Ana,CC101
P1190,INV1190,2024-06-06,S021,Velocity Cargo,Logistics,Warehousing,Operations,West,33272.06,Paid,Yes,Available,4,Nina,CC115
P1191,INV1191,2024-03-07,S005,NextGen Components,Manufacturing,Packaging,HR,Northeast,27617.68,Paid,Yes,Available,10,Nina,CC111
P1192,INV1192,2024-01-18,S011,TechCore Systems,IT,Security,Technology,South,8446.42,Paid,Yes,Available,6,Ravi,CC103
P1193,INV1193,2024-08-17,S009,Apex Industrial,Manufacturing,Calibration,Supply Chain,Midwest,34674.52,Paid,Yes,Available,3,David,CC102
P1194,INV1194,2024-01-23,S016,CloudAxis Software,IT,Laptops,Procurement,South,22465.1,Paid,Yes,Available,19,Sara,CC104
